date,t,pr,rh,u,sin,sout,lin,lout,SR_50 m,zatm_hourly m,Ameas - ,p,zu,zt,rho,q,teq,albedo,ts,qs,zq
2012-09-05 20:00:00,273.955,0.0,0.5252,4.105,0.0,0.0,215.83,301.725,3.013333333,2.0,1.0,590.7558198002691,2.0,0.88,0.43977300284108983,0.0035829410840389738,282.82848463093364,0.2268712721866686,271.45668444546686,0.0055931723544847215,0.88
2012-09-05 21:00:00,273.11499999999995,0.0,0.5542,3.515,0.0,0.0,214.49,299.745,3.013333333,2.0,1.0,590.7558198002691,2.0,0.88,0.4596431339283442,0.0035566772115803876,281.9312910164753,0.22583515494748632,271.0102415011821,0.005388343040209211,0.88
2012-09-05 22:00:00,272.64,0.0,0.57535,4.73,0.0,0.0,217.21,299.01,3.013333333,2.0,1.0,590.7558198002691,2.0,0.88,0.4717655526150654,0.003550412907585397,281.4451576663981,0.22753878538120434,270.8439535282684,0.005313813935338181,0.88
2012-09-05 23:00:00,272.455,0.0,0.4242,3.79,0.0,0.0,207.84,295.495,3.013333333,2.0,1.0,590.7558198002691,2.0,0.88,0.4763899051678391,0.002577911801569138,278.8547226765631,0.22732383530838998,270.04444658713203,0.0049684270973632885,0.88
2012-09-06 00:00:00,272.22999999999996,0.0,0.3994,4.38,0.0,0.0,202.59,292.16,3.013333333,2.0,1.0,590.7558198002691,2.0,0.88,0.48194220629838097,0.0023823532052881756,278.1465976239564,0.22720981242902746,269.2792600981285,0.004657161447258217,0.88
2012-09-06 01:00:00,271.395,0.0,0.62465,5.185,0.0,0.0,217.4,293.1,3.018333333,2.0,1.0,590.7558198002691,2.0,0.88,0.5018756817133406,0.0034758369397320603,280.0269857397983,0.22568740398806628,269.4955950484516,0.0047433084331402415,0.88
2012-09-06 02:00:00,270.835,0.0,0.67455,4.085,19.66,8.43,230.4,295.27,3.023333333,2.0,0.42878942,590.7558198002691,2.0,0.88,0.5146717843538411,0.003581744350487105,279.7344714235066,0.2227510518944862,269.9930266329275,0.004946930382873048,0.88
2012-09-06 03:00:00,271.29499999999996,0.0,0.59925,3.4,78.875,27.01,219.31,295.755,3.023333333,2.0,0.342440571,590.7558198002691,2.0,0.88,0.5041937254034503,0.0033067727219387075,279.5091446248965,0.22271979928837773,270.1038286421199,0.004993358408694779,0.88
2012-09-06 04:00:00,272.245,0.0,0.6056,5.58,443.215,125.9,216.9,303.79,3.023333333,2.0,0.284060783,590.7558198002691,2.0,0.88,0.4815744875784366,0.0036167986183561628,281.218000771917,0.22271979928837773,271.91995820632985,0.00581320272313176,0.88
2012-09-06 05:00:00,272.875,0.0,0.6092,5.335,793.61,200.015,226.115,312.43,3.023333333,2.0,0.252031854,590.7558198002691,2.0,0.88,0.46581336098179665,0.0038330108412829023,282.3764584851197,0.22271979928837773,273.15,0.006436214420643204,0.88
2012-09-06 06:00:00,274.03999999999996,0.0,0.5419,4.37,1028.1,221.65,235.515,316.765,3.018333333,2.0,0.215591868,590.7558198002691,2.0,0.88,0.4377212451111527,0.003719611628648004,283.25011036259826,0.22271979928837773,273.15,0.006436214420643204,0.88
