date,year,month,dayofyear,hour,sin,sout,lin,lout,t,rh,vp,p,u,wdir,zu,zt,zq,rho,q,teq,ts,qs
2005-08-31,2005.0,8.125,243.125,11.5,381.76145833333334,223.16062499999998,134.14791666666667,262.10791666666665,266.4465208333333,0.2529591666666667,0.90697375,500.55625000000003,2.3170625,192.8021666666667,1.8500000000000003,1.75,1.75,0.48158129265011845,0.001129314882815447,269.26944490009527,261.88549012403286,0.0032606732615547284
2005-09-01,2005.0,9.0,244.125,11.5,386.8327916666667,220.42320833333335,137.20624999999998,267.21208333333334,266.3759166666666,0.28317275000000003,1.0203608333333334,500.6125,3.373625,179.0822916666667,1.8500000000000003,1.75,1.75,0.48335808703720157,0.0012698627504144696,269.54897801392707,263.19357679004383,0.003568451912750013
2005-09-02,2005.0,9.0,245.125,11.5,366.68249999999995,205.27270833333333,157.10916666666665,274.7595833333333,266.3003958333333,0.5628062500000001,2.0040254166666664,501.6791666666666,2.1657291666666665,158.424375,1.8500000000000003,1.75,1.75,0.48458637064535176,0.0024913669416687313,272.5182330984428,264.89975117026523,0.004161570553899621
2005-09-03,2005.0,9.0,246.125,11.5,364.07504166666666,192.891625,146.87208333333334,271.5579166666667,266.8065208333333,0.38912416666666666,1.4537670833333334,501.9979166666667,2.6882083333333333,126.03945833333334,1.8500000000000003,1.75,1.75,0.4775030887864586,0.0018044876394004677,271.3094996614565,264.252318821629,0.003905198501913839
2005-09-04,2005.0,9.0,247.125,11.5,384.548375,185.9121041666667,138.93208333333334,274.9941666666667,266.5903958333333,0.2613249583333333,0.9447629166666666,501.5416666666667,5.3061875,92.60204166666666,1.8500000000000003,1.75,1.75,0.48111788102600245,0.0011741017242623277,269.5236728375348,265.14121106044337,0.0040721659751835
2005-09-05,2005.0,9.0,248.125,11.5,394.706375,156.23629166666666,139.53166666666667,276.3825,266.066875,0.24680220833333333,0.8120225,501.5333333333333,4.924854166666667,110.39954166666666,1.8500000000000003,1.75,1.75,0.49003450608440485,0.001008243797673364,268.58920165606315,265.466742014862,0.004204324411932389
2005-09-06,2005.0,9.0,249.125,11.5,393.60725,129.4960625,131.37125,278.40916666666664,266.68297916666666,0.14104470833333332,0.50960875,502.2583333333334,4.394604166666666,116.27541666666667,1.8500000000000003,1.75,1.75,0.48033029796468935,0.0006320135684789209,268.2634864452598,265.94970220774616,0.004383954559594479
2005-09-07,2005.0,9.0,250.125,11.5,402.278,128.87508333333332,127.36874999999999,280.0025,267.90529166666664,0.16030779166666667,0.6598095833333334,502.55,4.434916666666667,113.97845833333334,1.8500000000000003,1.75,1.75,0.45930326294507035,0.0008180028424577948,269.9465898403011,266.3303226565701,0.004529258821246229
2005-09-08,2005.0,9.0,251.125,11.5,355.10099999999994,127.56012499999999,137.83041666666665,279.67041666666665,267.63941666666665,0.2758895833333333,1.0077108333333333,502.1125,2.9464166666666665,185.13920833333336,1.8500000000000003,1.75,1.75,0.4630716960606381,0.0012526695221060868,270.76522135466945,266.2186914179143,0.0045195678170441315
2005-09-09,2005.0,9.0,252.125,11.5,395.247875,150.32783333333333,130.19833333333332,279.1354166666667,268.01681249999996,0.270666,1.1301025,501.99375000000003,3.7140625000000003,209.32870833333334,1.8500000000000003,1.75,1.75,0.45604788412083086,0.0014028647660254932,271.51330349631036,266.04144648682217,0.0044643361989147555
